n,fne_min_delta_A,fne_min_delta_B,fne_viol_A,fne_viol_B,rA,rB,augmented_residual,inner_residual,inner_iterations
642,0.004957365610733299,4.2560430139890343e-06,0,0,-2.5767187352698784e-06,2.6201263381153694e-14,-0.0016524969948576995,9.3907864300478443e-07,20
643,1.197828238922808e-06,4.5287167895925658e-06,0,0,-0.00038873509657477712,2.5757174171303632e-14,-0.0051587034383402397,1.4743714574979454e-06,20
644,7.0363182837363853e-06,1.8000148251047765e-06,0,0,-0.0013984009312260071,9.1038288019262836e-15,-0.032364586391231853,3.8365741015104168e-06,20
645,5.5842768796554845e-05,4.6611361952283973e-05,0,0,-0.0029223318254558706,1.4210854715202004e-14,-0.080572515051642313,6.1051827311928988e-06,20
646,8.9168795183056985e-05,1.8871521938165237e-05,0,0,-0.0047934206016222447,8.8817841970012523e-15,-0.14449271697397847,8.206856156983827e-06,20
647,0.0035235995525188077,1.0911305294063415e-06,0,0,-0.0068233372409771675,-5.3290705182007514e-15,-0.21743355920546747,1.0089427053174942e-05,20
648,0.0012341131228537508,1.2458537291822534e-05,0,0,-0.0088379883331519693,1.7763568394002505e-14,-0.29265474886122433,1.1722169734920039e-05,20
649,0.0009491624386820497,2.7278883762659386e-05,0,0,-0.010702066398502907,0,-0.36446893233094002,1.3095195366046519e-05,20
650,1.8099518793427045e-05,4.3437395952268232e-08,0,0,-0.012328964129459052,2.1316282072803006e-14,-0.42885224636619057,1.4216120810502592e-05,20
651,6.7672437486919099e-05,2.0907902783687317e-06,0,0,-0.013677947217105135,1.0658141036401503e-14,-0.48354419161165652,1.510506169663043e-05,20
652,0.00051828249253263838,7.8749559908250959e-07,0,0,-0.014743472740887498,-1.7763568394002505e-15,-0.52777334023996758,1.5789173122151039e-05,20
653,6.1319625717872525e-06,4.3474015481617945e-06,0,0,-0.015541746486569252,8.8817841970012523e-16,-0.56179791469045171,1.6297672790490725e-05,20
654,5.6701876533163663e-05,5.2658705203261759e-08,0,0,-0.016098161431034486,-2.2204460492503131e-16,-0.58642165701588622,1.665785552996001e-05,20
